auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.6,"Tasting Notes:
A nutty twist to a traditional European Brown Ale. Dark brown in color with a hazelnut aroma, a rich nutty flavor and a smooth malty finish.
 
11 Ingredients:
Great Western 2-Row, Brown, Carastan 13/17, Crystal 70/80, Crystal 135/165, Beeston Pale, Chocolate Malts; Perle & Sterling Hops; Hazelnut Extract, Free Range Coastal Water & Pacman Yeast.

Food Pairing: Pork, Beef

HISTORY
Dedicated to the homebrewer in each of us! The homebrewer who inspired this creation is Chris Studach, a friend of Rogue?s resident wizard John Maier, who added a Northwest twist to the classic style by adding hazelnuts for the host homebrew at the 1993 American Homebrewers Association
convention. Chris put the nut in nut brown!

?I work until beer o?clock.?
- Steven King    ",33,https://untappd.akamaized.net/site/beer_logos/beer-4179_efa20_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-4179_bfbf7_hd.jpeg,Hazelnut Brown Nectar,rogue-ales-and-spirits-hazelnut-brown-nectar,Brown Ale - American,4179,4565,https://untappd.akamaized.net/site/brewery_logos/brewery-rogue.jpg,Rogue Ales & Spirits,rogue-ales-spirits,Micro Brewery,https://www.facebook.com/RogueAlesSpirits/,rogueales,http://www.rogue.com/,United States,Newport,OR,44.6202,-124.052,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,4179.0,"Thu, 01 Jan 1970 00:00:00 +0000",14662.0,124603,3.83402,1960,181322,138051,0,,,,,,,0.0,[],3.83357,False
0,4.0,"Abita Light is an all-malt lager brewed with pilsner and carapils malts and Vanguard hops. It is the smoothest and most flavorful light beer you?ll ever taste. Crisp and refreshing with a mild hop aroma, it has only 118 calories and 8 carbs. Great with almost anything, it?s an excellent choice for lighter foods and salads too. Try Abita Light with a sharp Cheddar.",10,https://untappd.akamaized.net/site/beer_logos/beer-14663_13582_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14663_90eb5_hd.jpeg,Light,abita-brewing-company-light,Lager - American Light,14663,10,https://untappd.akamaized.net/site/brewery_logos/brewery-AbitaBrewingCompany_10.jpeg,Abita Brewing Company,abita-brewing-company,Micro Brewery,https://www.facebook.com/abita,TheAbitaBeer,http://www.abita.com/,United States,Abita Springs,LA,30.4821,-90.0552,,,"Tue, 14 Dec 2010 09:30:16 +0000",0,1,,,,3917,2.94837,81,5458,4683,0,,,,,,,0.0,[],2.99912,False
0,6.2,"St. Benedict of Nursia lived in the late 5th to early 6th centuries. Legend has it while living in solitude, he was befriended by a raven that later saved his life. He is most remembered for writing the Rule of St. Benedict that, among other virtues, teaches humility. Inspired by this Rule we humbly offer St. Benedict?s Winter Ale, a hand-crafted ale using generous amounts of dark roasted malts and the finest noble hops for a robust warming flavor.",0,https://untappd.akamaized.net/site/beer_logos/beer-11688_67ca3_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-11688_f30c8_hd.jpeg,St. Benedict's Winter Ale,stevens-point-brewery-st-benedict-s-winter-ale,Winter Ale,11688,1200,https://untappd.akamaized.net/site/brewery_logos/brewery-1200_c82a9.jpeg,Stevens Point Brewery,stevens-point-brewery,Micro Brewery,http://www.facebook.com/point.brewery,pointbrewery,http://www.pointbeer.com/,United States,Stevens Point,WI,44.5104,-89.5734,,,"Sun, 28 Nov 2010 08:49:53 +0000",0,1,11688.0,"Thu, 01 Jan 1970 00:00:00 +0000",14664.0,5235,3.32526,3,7475,5926,0,,,,,,,0.0,[],3.34319,False
0,11.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-OldGuardian2009_14665.jpeg,,2009 Stone Old Guardian Barley Wine,stone-brewing-co-2009-stone-old-guardian-barley-wine,Barleywine - American,14665,1204,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,Stone Brewing,stone-brewing,Micro Brewery,http://www.facebook.com/StoneBrewingCo,StoneBrewingCo,http://www.stonebrewing.com/,United States,Escondido,CA,33.1157,-117.12,,,"Tue, 14 Dec 2010 09:53:44 +0000",0,0,,,,1483,4.03018,6,2031,1804,0,[],,,,,,,,3.96548,False
0,5.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-RheingoldBeer_14666.jpeg,,Rheingold Beer,rheingold-brewing-company-rheingold-beer,Lager - North American Adjunct,14666,3842,https://untappd.akamaized.net/site/brewery_logos/brewery-RheingoldBrewingCompany_3842.jpeg,Rheingold Brewing Company,rheingold-brewing-company,Micro Brewery,,,,United States,Wilton,CT,41.208,-73.4295,,,"Tue, 14 Dec 2010 10:08:40 +0000",0,1,,,,242,2.47314,0,464,370,0,,,,,,,0.0,[],3.1295,False
0,7.5,Brewed with Guatemalan coffee beans,0,https://untappd.akamaized.net/site/beer_logos/beer-_14667_506d5e4bf39257eca3d5adc247f4.jpeg,,Chicca,birrificio-pausa-cafe-chicca,Stout - Other,14667,3844,https://untappd.akamaized.net/site/brewery_logos/brewery-BirrificioPausaCafe_3844.jpeg,Birrificio Pausa Caf?,birrificio-pausa-caf,Brew Pub,,,http://www.pausacafe.org,Italy,10126 Torino,TO,45.0354,7.66797,,,"Tue, 14 Dec 2010 10:25:03 +0000",0,1,,,,243,3.27984,0,287,282,0,,,,,,,0.0,[],3.4861,False
0,0.0,"Brewed with Cal 005 yeast from White Labs. Hops: simcoe for bittering, amarillo and centennial for flavor, and all three for aroma. Info from Christian (bartender/brewer).",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Creekside 5 IPA,creekside-brewing-company-creekside-5-ipa,IPA - American,14668,3843,https://untappd.akamaized.net/site/brewery_logos/brewery-CreeksideBrewingCompany_3843.jpeg,Creekside Brewing Company,creekside-brewing-company,Micro Brewery,http://www.facebook.com/profile.php?id=1267164913,,http://www.creeksidebrewing.com/,United States,San Luis Obispo,CA,35.2793,-120.665,,,"Tue, 14 Dec 2010 10:25:20 +0000",0,1,,,,3,0.0,0,8,7,0,,,,,,,0.0,[],3.55122,False
0,5.2,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Schwarzbier,taps-fish-house-and-brewery-schwarzbier,Schwarzbier,14669,3845,https://untappd.akamaized.net/site/brewery_logos/brewery-3845_8b00a.jpeg,TAPS Fish House & Brewery ,taps-fish-house-brewery,Brew Pub,http://www.facebook.com/pages/TAPS-Fish-House-Brewery/107626598962,tapsfishhouse,http://www.tapsfishhouse.com,United States,Brea,CA,33.9166,-117.9,,,"Tue, 14 Dec 2010 10:28:17 +0000",0,1,,,,393,3.62087,2,566,472,0,,,,,,,0.0,[],3.634,False
0,5.7,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Eric the Red,creekside-brewing-company-eric-the-red,Red Ale - American Amber / Red,14670,3843,https://untappd.akamaized.net/site/brewery_logos/brewery-CreeksideBrewingCompany_3843.jpeg,Creekside Brewing Company,creekside-brewing-company,Micro Brewery,http://www.facebook.com/profile.php?id=1267164913,,http://www.creeksidebrewing.com/,United States,San Luis Obispo,CA,35.2793,-120.665,,,"Tue, 14 Dec 2010 10:31:12 +0000",0,1,,,,92,3.38043,0,146,113,0,,,,,,,0.0,[],3.5717,False
0,8.6,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Holiday Spiced Ale,creekside-brewing-company-holiday-spiced-ale,Winter Ale,97743,3843,https://untappd.akamaized.net/site/brewery_logos/brewery-CreeksideBrewingCompany_3843.jpeg,Creekside Brewing Company,creekside-brewing-company,Micro Brewery,http://www.facebook.com/profile.php?id=1267164913,,http://www.creeksidebrewing.com/,United States,San Luis Obispo,CA,35.2793,-120.665,,,"Fri, 11 Nov 2011 18:29:12 +0000",0,1,97743.0,"Wed, 25 Apr 2012 04:22:53 +0000",14671.0,37,3.53378,0,52,47,0,,,,,,,0.0,[],3.59874,False
0,5.0,Copperhead Ale is Fordham?s flagship beer and an interpretation of the American Amber Ale.  Caramelized malts give this beer its sweet flavor and signature copper hue.  Bravo hops attribute a slight bitterness to the finish.  ,25,https://untappd.akamaized.net/site/beer_logos/beer-16144_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_16144_hd_3df4d83bceb29173a7394448777160.jpeg,Copperhead Ale,fordham-brewing-copperhead-ale,Red Ale - American Amber / Red,16144,544,https://untappd.akamaized.net/site/brewery_logos/brewery-544_4dbc0.jpeg,Fordham Brewing Co.,fordham-brewing-co,Micro Brewery,https://www.facebook.com/pages/Fordham-Brewing-Co/135440324179,FoDoBrewing,http://www.fordhamanddominion.com/,United States,Dover,DE,39.154,-75.4884,,,"Wed, 22 Dec 2010 14:07:23 +0000",0,1,16144.0,"Fri, 19 Sep 2014 16:41:14 +0000",14672.0,11834,3.3589,411,16249,13301,0,,,,,,,0.0,[],3.36624,False
0,9.0,"Complex, malty and rich, this English-style barleywine is one of the strongest of the beer styles. Heavy amounts of English crystal malts and chocolate malts give this beer its body and high strength, UK Golding hops help balance the sweetness and add a nice aroma. Perfect for sipping by the fire on a cold winter evening",30,https://untappd.akamaized.net/site/beer_logos/beer-14673_d0c5e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14673_9ba3f_hd.jpeg,Holiday Ale,nxnw-restaurant-and-brewery-holiday-ale,Barleywine - English,14673,3847,https://untappd.akamaized.net/site/brewery_logos/brewery-NXNWRestaurantandBrewery_3847.jpeg,NXNW  Restaurant & Brewery,nxnw-restaurant-brewery,Brew Pub,http://www.facebook.com/nxnwbrew,nxnwbrew,http://www.nxnwbrew.com/,United States,Austin,TX,31.9686,-99.9018,,,"Tue, 14 Dec 2010 10:50:43 +0000",0,1,,,,158,3.77373,0,211,188,0,,,,,,,5.0,"[{'beer': {'bid': 101678, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'nxnw-restaurant-and-brewery-holiday-ale-2011', 'beer_name': 'Holiday Ale (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 514625, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-514625_60250_sm.jpeg', 'beer_slug': 'nxnw-restaurant-brewery-holiday-ale-2013', 'beer_name': 'Holiday Ale (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 913436, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-913436_cd13b_sm.jpeg', 'beer_slug': 'nxnw-restaurant-brewery-holiday-ale-2014', 'beer_name': 'Holiday Ale (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 996421, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'nxnw-restaurant-and-brewery-holiday-ale-2012', 'beer_name': 'Holiday Ale (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1326443, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'nxnw-restaurant-and-brewery-holiday-ale-2015', 'beer_name': 'Holiday Ale (2015)', 'is_vintage': 1, 'is_variant': 0}}]",3.69253,False
0,7.0,"Our winter ale is made from a blend of pale, caramel and chocolate malts with each contributing an interesting malt character reminiscent of a traditional English Old Ale. We then add a NW twist by aggressively hopping this ale to provide contrast to the malty body.",65,https://untappd.akamaized.net/site/beer_logos/beer-14674_02ad7_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14674_3a379_hd.jpeg,Winter Ale,port-townsend-brewing-company-winter-ale,Winter Ale,14674,5160,https://untappd.akamaized.net/site/brewery_logos/brewery-PortTownsendBrewingCompany_5160.jpeg,Port Townsend Brewing Company,port-townsend-brewing-company,Micro Brewery,http://www.facebook.com/porttownsendbrewing,ptbrewing,http://www.porttownsendbrewing.com,United States,Port Townsend,WA,48.1072,-122.781,,,"Tue, 14 Dec 2010 10:51:18 +0000",0,1,,,,350,3.46714,0,435,389,0,,,,,,,0.0,[],3.55185,False
0,8.1,8.7%,69,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Silent Night Imperial Stout,creekside-brewing-company-silent-night-imperial-stout,Stout - American Imperial / Double,14675,3843,https://untappd.akamaized.net/site/brewery_logos/brewery-CreeksideBrewingCompany_3843.jpeg,Creekside Brewing Company,creekside-brewing-company,Micro Brewery,http://www.facebook.com/profile.php?id=1267164913,,http://www.creeksidebrewing.com/,United States,San Luis Obispo,CA,35.2793,-120.665,,,"Tue, 14 Dec 2010 10:53:00 +0000",0,1,,,,37,3.77703,0,49,45,0,,,,,,,0.0,[],3.6335,False
0,4.5,This delightfully refreshing beer is one you won't forget. Its peach flavor is not overpowering but is just enough to invite the drinker to have more. ,9,https://untappd.akamaized.net/site/beer_logos/beer-_14678_sm_3116da8ed0d35b54414d52a9bb74ae.jpeg,,Peach Ale,four-peaks-brewing-co-peach-ale,Fruit Beer,14678,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Tue, 14 Dec 2010 10:56:30 +0000",0,1,14678.0,"Wed, 07 Dec 2011 04:58:24 +0000",14676.0,11734,3.55235,395,17851,13310,0,,,,,,,0.0,[],3.55484,False
0,4.5,"A classic, unfiltered Belgian-style white ale brewed with coriander, orange peel, and locally grown chamomile flowers. It is called ""white ale"" because of the pale, cloudy color. A light aroma of orange and a zesty mouthfeel ensure that Telegraph White Ale is the perfect accompaniment to long summer days and fresh, flavorful farmer's market cuisine.
",0,https://untappd.akamaized.net/site/beer_logos/beer-14677_d9d83_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14677_a46f8_hd.jpeg,White Ale,telegraph-brewing-company-white-ale,Witbier,14677,1604,https://untappd.akamaized.net/site/brewery_logos/brewery-1604_a8fc0.jpeg,Telegraph Brewing Company,telegraph-brewing-company,Micro Brewery,http://www.facebook.com/telegraphbrewing,telegraphbrew,http://www.telegraphbrewing.com/,United States,Santa Barbara,CA,34.4229,-119.688,,,"Tue, 14 Dec 2010 10:55:42 +0000",0,1,,,,3499,3.54144,17,4542,4079,0,,,,,,,0.0,[],3.55022,False
0,4.5,This delightfully refreshing beer is one you won't forget. Its peach flavor is not overpowering but is just enough to invite the drinker to have more. ,9,https://untappd.akamaized.net/site/beer_logos/beer-_14678_sm_3116da8ed0d35b54414d52a9bb74ae.jpeg,,Peach Ale,four-peaks-brewing-co-peach-ale,Fruit Beer,14678,4799,https://untappd.akamaized.net/site/brewery_logos/brewery-FourPeaksBrewingCo_4799.jpeg,Four Peaks Brewing Company,four-peaks-brewing-company,Micro Brewery,http://www.facebook.com/fourpeaksbrew,fourpeaksbrew,http://www.fourpeaks.com/,United States,Tempe,AZ,33.4195,-111.916,,,"Tue, 14 Dec 2010 10:56:30 +0000",0,1,,,,11734,3.55235,395,17851,13310,0,,,,,,,0.0,[],3.55484,False
0,8.5,"Barleywine is a style of ale that originated in England and known for its high gravity, making it as strong as some wines. Our take on this classic style, Winter Warmer, undergoes a lengthy boil to achieve an almost black color, and features a heavy malt character, derived from a combination of British and American malts. From there, it is dry-hopped with Hallertauer hops for a powerful hop profile. Most distinctively, Upland?s special yeast strain lends Winter Warmer a perfect blend of rich fruit flavors and aromas.",0,https://untappd.akamaized.net/site/beer_logos/beer-_14679_sm_56b8a0296f5404d8745e1dd0c0df0d.jpeg,,Winter Warmer,upland-brewing-company-winter-warmer,Barleywine - English,14679,1313,https://untappd.akamaized.net/site/brewery_logos/brewery-1313_d5e63.jpeg,Upland Brewing Company,upland-brewing-company,Micro Brewery,http://www.facebook.com/UplandBrewingCo,UplandBrewCo,http://www.uplandbeer.com,United States,Bloomington,IN,39.1734,-86.5375,,,"Tue, 14 Dec 2010 11:00:23 +0000",0,1,,,,752,3.56682,0,1073,935,0,,,,,,,5.0,"[{'beer': {'bid': 328190, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_328190_sm_d1515c0239ef5facf39039226fb134.jpeg', 'beer_slug': 'upland-brewing-company-winter-warmer-2012', 'beer_name': 'Winter Warmer (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 328193, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_328193_sm_0eea94ccfe4b417f183cb7436e3e4f.jpeg', 'beer_slug': 'upland-brewing-company-winter-warmer-2011', 'beer_name': 'Winter Warmer (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 328203, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_328203_sm_0cd10a310eb3e3d8060cdb407be726.jpeg', 'beer_slug': 'upland-brewing-company-winter-warmer-2010', 'beer_name': 'Winter Warmer (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 328206, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_328206_sm_146b7fb6a930912a0b466fd4897921.jpeg', 'beer_slug': 'upland-brewing-company-winter-warmer-2009', 'beer_name': 'Winter Warmer (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 387813, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_387813_sm_c445a96bf99eff7eb6ef899fb05615.jpeg', 'beer_slug': 'upland-brewing-company-winter-warmer-2008', 'beer_name': 'Winter Warmer (2008)', 'is_vintage': 1, 'is_variant': 0}}]",3.59092,False
